What is the current stable version of JMeter as of 2025?,5.5,5.6.3,6.0-beta,5.4.3,1
Which Java version is required at minimum to run JMeter 5.6.3?,Java 6,Java 7,Java 8,Java 11,2
Which element in JMeter defines number of users and ramp-up time?,Thread Group,Test Plan,Assertion,Listener,0
Which element type is used to send HTTP requests in JMeter?,Listener,Sampler,Timer,Config Element,1
Which element type is used to add delays between requests?,Assertion,Timer,Listener,Controller,1
What does a “Listener” in JMeter do?,Send requests,Configure threads,Collect and display results,Manage cookies,2
Which element is used to manage cookies between requests?,Cookie Manager,Cache Manager,Header Manager,Response Assertion,0
Which element allows changing request headers in JMeter?,Cache Manager,Header Manager,Timer,JSR223 Sampler,1
Which element is used to parameterize requests with data from external file?,CSV Data Set Config,User Defined Variables,HTTP Header Manager,Cache Manager,0
Which file extension is used for JMeter test plans?,.jmx,.jtl,.xml,.log,0
What mode should you use for running large load tests instead of GUI?,GUI mode,Server mode,Non-GUI mode,Distributed mode,2
Which command-line flag runs JMeter in non-GUI mode?,-n,-g,-t,-r,0
Which file records results when you run in non-GUI mode with output file option?,.jmx,.jtl,.log,.xml,1
Which element validates response code or content from server?,Header Manager,Post-Processor,Assertion,Timer,2
Which type of assertion checks that response contains given string?,Response Assertion,JSON Assertion,Duration Assertion,Size Assertion,0
Which assertion type is useful for validating JSON response bodies?,Response Assertion,XPath Assertion,JSON Assertion,Size Assertion,2
Which Sampler in JMeter can test database queries?,JDBC Sampler,HTTP Sampler,FTP Sampler,JMS Sampler,0
Which element allows to loop a sampler or controllers a specific number of times?,Loop Controller,If Controller,Once Only Controller,Throughput Controller,0
Which controller executes its children only once per thread lifetime?,Loop Controller,Once Only Controller,If Controller,Transaction Controller,1
Which JMeter controller groups samplers for logical flow without affecting thread count?,Transaction Controller,Loop Controller,Interleave Controller,Random Controller,2
What does “ramp-up period” mean in Thread Group?,Time to start all threads,Time between requests,Test total duration,Time between loops,0
Which mode downloads embedded resources (images, scripts) by default when HTTP Request is executed?,Ignore resources,Download resources parallel,Download resources sequentially,No resources,1
Which config element would you use to manage cache and cookies between requests?,Cache Manager,Cookie Manager,Header Manager,User Parameters,0
Which element allows to generate dynamic random data like timestamp, UUID in requests?,User Defined Variables,CSV Data Set Config,Function Helper,HTTP Authorization Manager,2
Which sampler is used to test FTP servers?,JDBC Sampler,FTP Sampler,HTTP Sampler,JMS Sampler,1
Which sampler can send HTTP POST request with JSON body?,JDBC Sampler,FTP Sampler,HTTP Sampler,JMS Sampler,2
Which sampler tests messaging queues (JMS)?,JMS Sampler,HTTP Sampler,JDBC Sampler,FTP Sampler,0
