What does SQL stand for?,Structured Query Language,Strong Question Language,Sequential Query Logic,Structured Question List,0
Which SQL statement is used to retrieve data?,SELECT,GET,EXTRACT,TAKE,0
Which clause is used to filter rows in SQL?,WHERE,HAVING,FILTER,ON,0
Which keyword sorts the result set?,ORDER BY,SORT BY,ALIGN BY,GROUP BY,0
What keyword is used to remove duplicate rows?,DISTINCT,UNIQUE,SEPARATE,NODUP,0
Which SQL statement updates data?,UPDATE,CHANGE,MODIFY,SET,0
Which SQL statement deletes data?,DELETE,DROP,REMOVE,ERASE,0
Which SQL command inserts new data?,INSERT INTO,ADD NEW,PUT INTO,APPEND,0
Which operator is used for pattern matching?,LIKE,MATCH,COMPARE,PATTERN,0
Which wildcard matches any number of characters in LIKE?,%,_,#,*,0
Which clause groups rows?,GROUP BY,ORDER BY,WHERE,PARTITION BY,0
Which clause filters groups?,HAVING,WHERE,GROUP FILTER,AFTER GROUP,0
What does the JOIN keyword do?,Combines rows from multiple tables,Deletes related rows,Creates new tables,Sorts data,0
Which JOIN returns only matching rows?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,0
Which JOIN returns all rows from the left table?,LEFT JOIN,INNER JOIN,RIGHT JOIN,FULL JOIN,0
Which JOIN returns all rows from both tables?,FULL OUTER JOIN,LEFT JOIN,RIGHT JOIN,CROSS JOIN,0
Which JOIN creates a Cartesian product?,CROSS JOIN,FULL JOIN,INNER JOIN,LEFT JOIN,0
Which keyword renames a column?,AS,ALIAS,RENAME,SET,0
Which constraint ensures uniqueness?,UNIQUE,PRIMARY,FOREIGN,NOT NULL,0
Which constraint defines a primary key?,PRIMARY KEY,MASTER KEY,MAIN KEY,PRIMARY,0
Which constraint prevents NULL values?,NOT NULL,NO EMPTY,NO NULL,FORCE VALUE,0
Which constraint enforces referential integrity?,FOREIGN KEY,PRIMARY KEY,CHECK,UNIQUE,0
Which constraint checks a condition?,CHECK,VERIFY,ASSERT,VALIDATE,0
Which keyword adds a new column?,ALTER TABLE ADD,NEW COLUMN,MODIFY TABLE,INSERT COLUMN,0
Which keyword removes a table?,DROP TABLE,DELETE TABLE,REMOVE TABLE,DESTROY TABLE,0
Which command removes all rows but not structure?,TRUNCATE,DROP,DELETE,CLEAR,0
Which keyword specifies ascending order?,ASC,UP,INC,ASCEND,0
Which keyword specifies descending order?,DESC,DOWN,DEC,DROP,0
Which statement creates a table?,CREATE TABLE,MAKE TABLE,BUILD TABLE,NEW TABLE,0
Which function counts rows?,COUNT(),SUM(),TOTAL(),ROWS(),0
Which function returns average?,AVG(),MEAN(),AVERAGE(),MID(),0
